year,nestbox_id,lat_dd,lon_dd,species,lay_date,clutch_size,ld_doy
1990,HV.0164.0,52.0367296224281,5.84463678135318,great tit,1990-04-25,9,115
1991,HV.0164.0,52.0367296224281,5.84463678135318,great tit,1991-04-23,3,113
1992,HV.0164.0,52.0367296224281,5.84463678135318,great tit,1992-04-12,11,103
1993,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,1993-05-07,6,127
1994,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,1994-05-12,6,132
1995,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,1995-05-09,6,129
1996,HV.0164.0,52.0367296224281,5.84463678135318,great tit,1996-04-22,0,113
1997,HV.0164.0,52.0367296224281,5.84463678135318,great tit,1997-05-25,9,145
1998,HV.0164.0,52.0367296224281,5.84463678135318,great tit,1998-04-19,13,109
1999,HV.0164.0,52.0367296224281,5.84463678135318,great tit,1999-05-24,9,144
2001,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2001-04-29,8,119
2002,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2002-04-21,0,111
2003,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2003-05-04,6,124
2004,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2004-05-03,7,124
2005,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2005-05-03,7,123
2006,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2006-05-03,7,123
2007,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2007-04-28,7,118
2008,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2008-04-28,6,119
2009,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2009-05-04,7,124
2010,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2010-05-02,7,122
2011,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2011-04-22,7,112
2012,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2012-04-16,8,107
2013,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2013-05-19,8,139
2014,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2014-05-02,6,122
2015,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2015-04-20,5,110
2016,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2016-05-10,10,131
2017,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2017-04-05,11,95
2018,HV.0164.0,52.0367296224281,5.84463678135318,nuthatch,2018-04-23,8,113
2019,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2019-04-28,7,118
2020,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2020-04-22,7,113
2021,HV.0164.0,52.0367296224281,5.84463678135318,nuthatch,2021-04-06,NA,96
2022,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2022-04-27,7,117
2023,HV.0164.0,52.0367296224281,5.84463678135318,great tit,2023-04-16,8,106
2024,HV.0164.0,52.0367296224281,5.84463678135318,pied flycatcher,2024-05-03,7,124
2025,HV.0164.0,52.0367296224281,5.84463678135318,blue tit,2025-04-09,12,99
1959,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1959-04-12,8,102
1960,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1960-04-20,13,111
1962,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1962-04-30,7,120
1963,HV.0165.0,52.03740486231153,5.864398933595729,blue tit,1963-04-23,11,113
1964,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1964-04-21,13,112
1965,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1965-04-25,11,115
1966,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1966-04-22,9,112
1967,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1967-04-17,8,107
1968,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1968-04-22,11,113
1969,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1969-04-26,10,116
1971,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1971-04-20,10,110
1972,HV.0165.0,52.03740486231153,5.864398933595729,great tit,1972-04-27,7,118
1973,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,1973-05-03,11,123
1974,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1974-06-10,7,161
1975,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1975-04-29,8,119
1976,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1976-05-25,6,146
1977,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1977-05-02,9,122
1978,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,1978-04-30,13,120
1979,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1979-05-19,5,139
1980,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1980-06-05,9,157
1981,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1981-04-14,0,104
1982,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1982-04-21,5,111
1983,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1983-04-21,9,111
1984,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1984-05-01,9,122
1985,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1985-05-30,3,150
1986,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1986-05-06,0,126
1987,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1987-05-02,7,122
1988,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1988-04-28,0,119
1989,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1989-05-15,6,135
1990,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1990-05-12,6,132
1991,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1991-05-21,6,141
1992,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1992-05-06,7,127
1993,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1993-05-15,6,135
1994,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1994-04-25,11,115
1995,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1995-05-23,5,143
1996,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1996-05-08,6,129
1997,HV.0165.0,52.0372861902443,5.8448173608766,great tit,1997-05-03,8,123
1998,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,1998-05-03,7,123
2000,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2000-04-27,7,118
2001,HV.0165.0,52.0372861902443,5.8448173608766,great tit,2001-05-06,5,126
2002,HV.0165.0,52.0372861902443,5.8448173608766,great tit,2002-04-25,0,115
2003,HV.0165.0,52.0372861902443,5.8448173608766,great tit,2003-04-19,9,109
2005,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,2005-04-22,12,112
2006,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2006-05-17,5,137
2007,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,2007-04-17,1,107
2008,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,2008-04-19,11,110
2009,HV.0165.0,52.0372861902443,5.8448173608766,great tit,2009-04-18,8,108
2010,HV.0165.0,52.0372861902443,5.8448173608766,great tit,2010-04-14,9,104
2011,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2011-04-27,6,117
2012,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,2012-04-18,9,109
2013,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2013-05-07,6,127
2014,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2014-05-17,6,137
2015,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2015-05-12,6,132
2016,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2016-05-07,6,128
2017,HV.0165.0,52.0372861902443,5.8448173608766,great tit,2017-04-04,10,94
2018,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2018-04-28,6,118
2019,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,2019-04-10,9,100
2020,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2020-04-22,7,113
2021,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2021-04-29,7,119
2022,HV.0165.0,52.0372861902443,5.8448173608766,great tit,2022-04-07,9,97
2023,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2023-05-04,6,124
2024,HV.0165.0,52.0372861902443,5.8448173608766,pied flycatcher,2024-05-08,7,129
2025,HV.0165.0,52.0372861902443,5.8448173608766,blue tit,2025-04-08,10,98
1959,HV.0166.0,52.03657379418416,5.863593356535366,coal tit,NA,0,NA
1960,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1960-05-08,8,129
1961,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1961-04-10,11,100
1962,HV.0166.0,52.03657379418416,5.863593356535366,blue tit,1962-04-25,15,115
1964,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1964-04-22,12,113
1965,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1965-04-24,9,114
1966,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1966-04-22,11,112
1967,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1967-04-21,10,111
1968,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1968-04-23,10,114
1969,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1969-04-30,9,120
1970,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1970-04-30,10,120
1971,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1971-04-21,9,111
1972,HV.0166.0,52.03657379418416,5.863593356535366,great tit,1972-04-21,12,112
1973,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1973-05-01,11,121
1974,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1974-04-16,9,106
1975,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,1975-05-02,9,122
1976,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,1976-04-26,10,117
1977,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1977-06-11,9,162
1978,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1978-05-05,1,125
1979,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1979-06-05,10,156
1980,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,1980-04-19,14,110
1981,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1981-05-17,6,137
1982,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1982-05-03,7,123
1983,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1983-04-22,8,112
1984,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1984-06-13,4,165
1986,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1986-05-18,6,138
1987,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1987-04-27,11,117
1988,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,1988-04-25,12,116
1989,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1989-06-14,3,165
1991,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1991-06-04,4,155
1992,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1992-05-19,6,140
1993,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1993-05-19,6,139
1994,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1994-04-22,13,112
1996,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1996-04-28,11,119
1997,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1997-05-06,6,126
1998,HV.0166.0,52.0380313895042,5.84502902331095,great tit,1998-05-23,8,143
1999,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,1999-05-08,7,128
2000,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2000-04-16,10,107
2001,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,2001-05-09,6,129
2003,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,2003-04-21,12,111
2004,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2004-04-18,11,109
2005,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,2005-05-07,7,127
2006,HV.0166.0,52.0380313895042,5.84502902331095,great tit,NA,NA,NA
2007,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,2007-04-10,5,100
2008,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2008-04-17,7,108
2009,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2009-05-11,8,131
2010,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,2010-05-03,7,123
2011,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2011-04-14,10,104
2012,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,2012-04-30,7,121
2014,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,2014-04-06,11,96
2015,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2015-04-20,7,110
2017,HV.0166.0,52.0380313895042,5.84502902331095,nuthatch,2017-04-07,6,97
2019,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2019-04-11,1,101
2020,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2020-05-06,10,127
2021,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2021-04-28,NA,118
2022,HV.0166.0,52.0380313895042,5.84502902331095,pied flycatcher,2022-05-03,6,123
2023,HV.0166.0,52.0380313895042,5.84502902331095,blue tit,2023-04-18,12,108
2025,HV.0166.0,52.0380313895042,5.84502902331095,great tit,2025-04-15,9,105
1959,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1959-04-20,11,110
1960,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1960-04-18,9,109
1961,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1961-04-19,12,109
1962,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1962-04-27,10,117
1963,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1963-04-25,9,115
1964,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1964-04-25,15,116
1965,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1965-04-26,12,116
1966,HV.0167.0,52.03551143628997,5.86369841787612,blue tit,1966-04-27,13,117
1967,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1967-05-07,9,127
1968,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1968-04-25,12,116
1969,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1969-04-27,12,117
1970,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1970-04-28,13,118
1971,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1971-04-19,24,109
1972,HV.0167.0,52.03551143628997,5.86369841787612,great tit,1972-04-13,14,104
1975,HV.0167.0,52.038453422208804,5.84513536294249,great tit,1975-05-19,7,139
1977,HV.0167.0,52.038453422208804,5.84513536294249,great tit,1977-05-02,11,122
1979,HV.0167.0,52.038453422208804,5.84513536294249,coal tit,1979-04-19,10,109
1980,HV.0167.0,52.038453422208804,5.84513536294249,great tit,1980-04-25,7,116
1981,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,1981-05-16,6,136
1982,HV.0167.0,52.038453422208804,5.84513536294249,blue tit,1982-04-28,8,118
1983,HV.0167.0,52.038453422208804,5.84513536294249,blue tit,1983-04-19,11,109
1984,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,1984-05-16,5,137
1985,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,1985-05-20,6,140
1986,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,1986-05-07,6,127
1987,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,1987-05-02,7,122
1988,HV.0167.0,52.038453422208804,5.84513536294249,blue tit,1988-04-25,8,116
1989,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,1989-05-14,5,134
1990,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,1990-05-08,6,128
1992,HV.0167.0,52.038453422208804,5.84513536294249,great tit,1992-04-29,0,120
1993,HV.0167.0,52.038453422208804,5.84513536294249,blue tit,1993-05-03,2,123
1994,HV.0167.0,52.038453422208804,5.84513536294249,nuthatch,1994-04-12,8,102
1996,HV.0167.0,52.038453422208804,5.84513536294249,great tit,1996-06-07,8,159
1998,HV.0167.0,52.038453422208804,5.84513536294249,great tit,1998-05-21,9,141
2000,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,2000-05-01,6,122
2001,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,2001-05-13,6,133
2003,HV.0167.0,52.038453422208804,5.84513536294249,great tit,2003-04-19,10,109
2005,HV.0167.0,52.038453422208804,5.84513536294249,great tit,2005-04-21,10,111
2006,HV.0167.0,52.038453422208804,5.84513536294249,blue tit,2006-04-29,7,119
2008,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,2008-05-03,7,124
2009,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,2009-05-02,7,122
2010,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,2010-05-01,7,121
2011,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,2011-04-24,6,114
2012,HV.0167.0,52.038453422208804,5.84513536294249,blue tit,2012-04-13,13,104
2014,HV.0167.0,52.038453422208804,5.84513536294249,blue tit,2014-04-08,9,98
2016,HV.0167.0,52.038453422208804,5.84513536294249,great tit,2016-05-28,0,149
2017,HV.0167.0,52.038453422208804,5.84513536294249,great tit,2017-04-12,9,102
2020,HV.0167.0,52.038453422208804,5.84513536294249,pied flycatcher,2020-05-03,6,124
2021,HV.0167.0,52.038453422208804,5.84513536294249,great tit,2021-05-10,9,130
2024,HV.0167.0,52.038453422208804,5.84513536294249,great tit,2024-04-10,11,101
1960,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1960-06-08,6,160
1961,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1961-04-18,10,108
1962,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1962-04-27,7,117
1963,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1963-06-11,8,162
1964,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1964-04-30,8,121
1965,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1965-04-25,14,115
1966,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1966-04-22,10,112
1967,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1967-04-17,11,107
1968,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1968-04-26,10,117
1969,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1969-05-01,11,121
1970,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1970-05-07,8,127
1971,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1971-04-19,7,109
1972,HV.0168.0,52.03473585870816,5.863593356521086,great tit,1972-04-14,8,105
1973,HV.0168.0,52.0392344587269,5.84537655295696,great tit,1973-04-27,11,117
1974,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1974-05-12,7,132
1975,HV.0168.0,52.0392344587269,5.84537655295696,great tit,1975-04-28,4,118
1976,HV.0168.0,52.0392344587269,5.84537655295696,great tit,1976-06-11,3,163
1977,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1977-05-12,6,132
1978,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1978-05-10,5,130
1979,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1979-05-15,6,135
1980,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1980-05-17,6,138
1981,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1981-05-19,4,139
1982,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1982-05-06,0,126
1983,HV.0168.0,52.0392344587269,5.84537655295696,great tit,1983-05-26,10,146
1984,HV.0168.0,52.0392344587269,5.84537655295696,blue tit,1984-05-02,5,123
1985,HV.0168.0,52.0392344587269,5.84537655295696,blue tit,1985-05-03,2,123
1986,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1986-05-08,6,128
1988,HV.0168.0,52.0392344587269,5.84537655295696,coal tit,1988-05-02,3,123
1990,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1990-05-13,6,133
1992,HV.0168.0,52.0392344587269,5.84537655295696,great tit,1992-04-10,0,101
1994,HV.0168.0,52.0392344587269,5.84537655295696,great tit,1994-04-22,10,112
1995,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,NA,0,NA
1997,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1997-05-14,5,134
1998,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,1998-05-10,5,130
1999,HV.0168.0,52.0392344587269,5.84537655295696,great tit,1999-05-18,9,138
2001,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2001-04-28,9,118
2003,HV.0168.0,52.0392344587269,5.84537655295696,blue tit,2003-04-18,8,108
2006,HV.0168.0,52.0392344587269,5.84537655295696,coal tit,2006-04-22,9,112
2007,HV.0168.0,52.0392344587269,5.84537655295696,nuthatch,2007-04-07,7,97
2008,HV.0168.0,52.0392344587269,5.84537655295696,nuthatch,2008-04-07,10,98
2009,HV.0168.0,52.0392344587269,5.84537655295696,blue tit,2009-05-17,7,137
2010,HV.0168.0,52.0392344587269,5.84537655295696,blue tit,2010-04-11,11,101
2011,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,2011-04-23,7,113
2012,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2012-04-12,8,103
2013,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2013-05-19,5,139
2014,HV.0168.0,52.0392344587269,5.84537655295696,blue tit,2014-04-15,10,105
2015,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2015-05-25,8,145
2017,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2017-04-05,0,95
2018,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2018-04-18,7,108
2019,HV.0168.0,52.0392344587269,5.84537655295696,blue tit,2019-04-13,11,103
2021,HV.0168.0,52.0392344587269,5.84537655295696,nuthatch,2021-04-11,7,101
2022,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2022-04-19,7,109
2023,HV.0168.0,52.0392344587269,5.84537655295696,great tit,2023-05-02,9,122
2024,HV.0168.0,52.0392344587269,5.84537655295696,pied flycatcher,2024-05-02,7,123
2025,HV.0168.0,52.0392344587269,5.84537655295696,nuthatch,2025-04-08,8,98
1959,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1959-04-10,11,100
1960,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1960-06-11,7,163
1961,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1961-04-07,9,97
1962,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1962-05-01,10,121
1963,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1963-04-24,11,114
1964,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1964-06-02,8,154
1965,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1965-04-24,11,114
1966,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1966-04-25,12,115
1967,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1967-04-18,9,108
1968,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1968-04-24,9,115
1969,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1969-04-29,12,119
1970,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1970-04-29,12,119
1971,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1971-04-17,11,107
1972,HV.0169.0,52.03452176461024,5.861761349142676,great tit,1972-04-17,11,108
1974,HV.0169.0,52.039754733121,5.84564423083246,great tit,1974-04-14,10,104
1977,HV.0169.0,52.039754733121,5.84564423083246,great tit,1977-05-02,10,122
1978,HV.0169.0,52.039754733121,5.84564423083246,great tit,NA,NA,NA
1979,HV.0169.0,52.039754733121,5.84564423083246,great tit,1979-06-13,5,164
1980,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1980-05-21,5,142
1981,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1981-05-12,0,132
1983,HV.0169.0,52.039754733121,5.84564423083246,blue tit,1983-05-18,6,138
1984,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1984-05-16,6,137
1987,HV.0169.0,52.039754733121,5.84564423083246,great tit,1987-06-06,5,157
1988,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1988-05-10,6,131
1989,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1989-05-07,6,127
1990,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1990-05-08,7,128
1991,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1991-05-28,4,148
1992,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1992-05-05,6,126
1993,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1993-05-02,6,122
1994,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1994-05-03,6,123
1995,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,1995-05-14,5,134
1996,HV.0169.0,52.039754733121,5.84564423083246,great tit,1996-04-28,9,119
1997,HV.0169.0,52.039754733121,5.84564423083246,great tit,1997-04-15,18,105
2000,HV.0169.0,52.039754733121,5.84564423083246,great tit,2000-04-17,11,108
2001,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,2001-05-12,6,132
2002,HV.0169.0,52.039754733121,5.84564423083246,great tit,2002-04-16,0,106
2005,HV.0169.0,52.039754733121,5.84564423083246,great tit,2005-04-11,0,101
2007,HV.0169.0,52.039754733121,5.84564423083246,great tit,2007-04-18,9,108
2008,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,2008-05-07,6,128
2009,HV.0169.0,52.039754733121,5.84564423083246,great tit,2009-04-20,12,110
2011,HV.0169.0,52.039754733121,5.84564423083246,great tit,NA,0,NA
2012,HV.0169.0,52.039754733121,5.84564423083246,great tit,2012-04-19,0,110
2013,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,2013-05-08,6,128
2014,HV.0169.0,52.039754733121,5.84564423083246,great tit,2014-04-27,8,117
2016,HV.0169.0,52.039754733121,5.84564423083246,great tit,2016-04-22,5,113
2018,HV.0169.0,52.039754733121,5.84564423083246,pied flycatcher,2018-05-09,7,129
2020,HV.0169.0,52.039754733121,5.84564423083246,great tit,2020-04-13,NA,104
2021,HV.0169.0,52.039754733121,5.84564423083246,great tit,2021-04-26,NA,116
2023,HV.0169.0,52.039754733121,5.84564423083246,blue tit,2023-04-24,11,114
1959,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1959-05-27,8,147
1960,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1960-04-19,9,110
1961,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1961-04-10,11,100
1962,HV.0170.0,52.0345136855676,5.859916209094886,blue tit,1962-05-01,12,121
1963,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1963-04-22,12,112
1964,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1964-06-02,11,154
1965,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1965-04-27,13,117
1966,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1966-06-02,8,153
1967,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1967-04-18,9,108
1968,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1968-04-29,11,120
1969,HV.0170.0,52.0345136855676,5.859916209094886,pied flycatcher,1969-05-13,5,133
1970,HV.0170.0,52.0345136855676,5.859916209094886,blue tit,1970-04-30,12,120
1971,HV.0170.0,52.0345136855676,5.859916209094886,great tit,1971-04-22,11,112
